"","Time","Pop_size","Pop_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,124457,123628.117913832,20,250,100,100
"2",2,124094,123242.630385488,30,300,200,200
"3",3,123683,122806.12244898,40,350,300,300
"4",4,123216,122295.918367347,50,400,400,400
"5",5,122695,121695.011337868,60,400,500,500
"6",6,122179,121230.158730159,70,400,600,600
"7",7,121650,120776.64399093,80,400,700,700
"8",8,121125,120232.426303855,90,400,800,800
"9",9,120607,119744.897959184,100,450,900,900
"10",10,120050,119229.024943311,110,450,1000,1000
"11",11,119477,118667.800453515,120,450,1100,1100
"12",12,118892,118072.562358277,130,450,1200,1200
"13",13,118332,117488.662131519,140,450,1300,1300
"14",14,117760,116967.120181406,150,450,1400,1400
"15",15,117189,116456.916099773,160,450,1500,1500
"16",16,116619,115753.968253968,170,450,1600,1600
"17",17,116045,115136.054421769,180,450,1700,1700
"18",18,115471,114614.512471655,190,450,1800,1800
"19",19,114915,114126.984126984,200,450,1900,1900
"20",20,114345,113599.77324263,210,450,2000,2000
"21",21,113778,113117.9138322,220,450,2100,2100
"22",22,113196,112641.723356009,230,450,2200,2200
"23",23,112619,112063.492063492,240,450,2300,2300
"24",24,112070,111507.936507937,250,450,2400,2400
"25",25,111512,111020.408163265,260,450,2500,2500
"26",26,110951,110498.866213152,270,450,2600,2600
"27",27,110380,109858.276643991,280,450,2700,2700
"28",28,109823,109404.761904762,290,450,2800,2800
"29",29,109274,108843.537414966,300,450,2900,2900
"30",30,108717,108225.623582766,310,450,3000,3000
"31",31,108165,107624.716553288,320,450,3100,3100
"32",32,107608,106967.120181406,330,450,3200,3200
"33",33,107043,106456.916099773,340,450,3300,3300
"34",34,106490,105884.353741497,350,450,3400,3400
"35",35,105942,105317.46031746,360,450,3500,3500
"36",36,105375,104710.884353741,370,450,3600,3600
"37",37,104829,104160.997732426,380,450,3700,3700
"38",38,104265,103582.766439909,390,450,3800,3800
"39",39,103711,102998.866213152,400,450,3900,3900
"40",40,103154,102448.979591837,410,450,4000,4000
