"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98671,98671,80,708,2000,705.068276680762
2,97963,97963,80,715,2075,705.068276680762
3,97248,97248,77,810,2150,674.612791847037
4,96438,96438,28,2370,2225,183.569482473798
5,94068,94068,68,990,2300,581.826873689079
6,93078,93078,67,1050,2375,577.036012954361
7,92028,92028,42,1740,2450,328.033706203823
8,90288,90288,92,588,2525,825.211813156369
9,89700,89700,43,1800,2600,332.593986974427
10,87900,87900,36,2220,2675,267.892103780312
11,85680,85680,91,651,2750,811.374396147365
12,85029,85029,45,1860,2825,350.021428108942
13,83169,83169,66,1290,2900,566.208334486535
14,81879,81879,72,1230,2975,627.318827840271
15,80649,80649,27,3360,3050,174.542756379638
16,77289,77289,70,1320,3125,602.748859295621
17,75969,75969,85,992,3200,751.254961803818
18,74977,74977,31,3150,3275,213.053427470194
19,71827,71827,83,1058,3350,734.130372720923
20,70769,70769,42,2430,3425,327.057302162997
21,68339,68339,47,2220,3500,371.605193026411
22,66119,66119,91,905,3575,818.78938323017
23,65214,65214,53,2040,3650,436.071505162847
24,63174,63174,40,2790,3725,302.19445188218
25,60384,60384,83,1234,3800,735.633010238352
26,59150,59150,30,3870,3875,202.150742283783
27,55280,55280,80,1353,3950,705.068276680764
28,53927,53927,77,1504,4025,674.612791847039
29,52423,52423,28,4380,4100,183.569482473797
30,48043,48043,68,1830,4175,581.826873689074
31,46213,46213,67,1890,4250,577.03601295436
32,44323,44323,42,3060,4325,328.033706203823
33,41263,41263,92,1141,4400,825.21181315637
34,40122,40122,43,3120,4475,332.59398697443
35,37002,37002,36,3780,4550,267.892103780305
36,33222,33222,91,1239,4625,811.374396147363
37,31983,31983,45,3120,4700,350.021428108941
38,28863,28863,66,2160,4775,566.208334486536
39,26703,26703,72,2006,4850,627.318827840273
40,24697,24697,27,5457,4925,174.542756379638
41,19240,19240,70,2130,5000,602.748859295622
42,17110,17110,85,1627,5075,751.254961803818
43,15483,15483,31,4980,5150,213.053427470195
44,10503,10503,83,1715,5225,734.130372720919
45,8788,8788,42,3780,5300,327.057302162996
46,5073,5073,47,3420,5375,371.605193026406
47,2328,2328,91,1478,5450,818.78938323017
48,1548,1548,53,3120,5525,436.071505162846
49,593,593,40,4200,5600,302.194451882165
NA,NA,NA,NA,NA,NA,NA
